样本编号,真实锚点账户,真实关联账户,真实路径,内部关联评分,关联账户模型风险分,关联账户标签,命中广义已知风险,内部解释校验通过
LINK-001,7265,10243,"[""7265"", ""1137"", ""10243""]",0.3362289722725562,0.008570685220244205,2,1,True
LINK-002,3900,5788,"[""3900"", ""4185"", ""5788""]",0.46454808537159964,0.0026463670086711547,0,0,True
LINK-003,318,447,"[""318"", ""7629"", ""447""]",0.40645139893167836,0.002658644750933352,0,0,True
LINK-004,318,1814,"[""318"", ""7629"", ""1814""]",0.39818049870432837,0.002658644750933352,0,0,True
LINK-005,1740,712,"[""1740"", ""3863"", ""712""]",0.42960739164325873,0.00266756326140467,0,0,True
LINK-006,3900,5861,"[""3900"", ""4185"", ""5861""]",0.46233761806261553,0.0026463670086711547,0,0,True
LINK-007,3900,9096,"[""3900"", ""4185"", ""9096""]",0.43775724160139984,0.0026463670086711547,0,0,True
LINK-008,4379,5919,"[""4379"", ""10662"", ""5919""]",0.48264791561277703,0.0026685532231141935,0,0,True
LINK-009,3900,863,"[""3900"", ""4185"", ""863""]",0.44076873391245264,0.0026463670086711547,0,0,True
LINK-010,3900,2657,"[""3900"", ""4185"", ""4059"", ""2657""]",0.44728443480171187,0.0026463670086711547,0,0,True
LINK-011,3900,5959,"[""3900"", ""4185"", ""5959""]",0.43775724160139984,0.0026463670086711547,0,0,True
LINK-012,318,10013,"[""318"", ""7629"", ""10013""]",0.39738999786187645,0.002658644750933352,0,0,True
LINK-013,3900,4422,"[""3900"", ""4185"", ""4059"", ""4422""]",0.4460176086590867,0.0026670737829726,0,0,True
LINK-014,4379,6050,"[""4379"", ""10662"", ""6050""]",0.4425685194092393,0.002660939362750395,0,0,True
LINK-015,318,2817,"[""318"", ""7629"", ""2817""]",0.40483591554839526,0.002658644750933352,0,0,True
LINK-016,318,3410,"[""318"", ""7629"", ""3410""]",0.3985025213915794,0.002658644750933352,0,0,True
LINK-017,1740,3703,"[""1740"", ""3863"", ""6088"", ""3703""]",0.4280837005772927,0.0026463670086711547,0,0,True
LINK-018,318,2524,"[""318"", ""7629"", ""2524""]",0.3963773544688106,0.002658644750933352,0,0,True
LINK-019,3900,958,"[""3900"", ""4185"", ""958""]",0.4340135278151961,0.0026463670086711547,0,0,True
