样本编号,审核席位,匿名锚点账户,匿名关联账户,路径跳数,匿名资金路径,路径交易笔数,路径累计绝对金额,路径最近交易时间,是否同一图社区,双向关系数量,关系证据摘要,解释合理性,是否值得进一步核查,证据充分性,不合理/不足原因,补充意见,审核人,审核时间
LINK-001,A,A00034,A00043,2,A00034 → A00005 → A00043,4,2570.7,2025-12-06T11:21:36.000,是,0,"2跳关系；路径累计4笔；累计绝对金额2,570.70元；最近交易2025-12-06 11:21:36；同社区=是；双向关系0条",,,,,,,
LINK-001,B,A00034,A00043,2,A00034 → A00005 → A00043,4,2570.7,2025-12-06T11:21:36.000,是,0,"2跳关系；路径累计4笔；累计绝对金额2,570.70元；最近交易2025-12-06 11:21:36；同社区=是；双向关系0条",,,,,,,
LINK-002,A,A00022,A00086,2,A00022 → A00091 → A00086,68,4659742.0,2025-12-25T13:54:23.000,是,0,"2跳关系；路径累计68笔；累计绝对金额4,659,742.00元；最近交易2025-12-25 13:54:23；同社区=是；双向关系0条",,,,,,,
LINK-002,B,A00022,A00086,2,A00022 → A00091 → A00086,68,4659742.0,2025-12-25T13:54:23.000,是,0,"2跳关系；路径累计68笔；累计绝对金额4,659,742.00元；最近交易2025-12-25 13:54:23；同社区=是；双向关系0条",,,,,,,
LINK-003,A,A00078,A00061,2,A00078 → A00012 → A00061,148,21119999.15,2025-12-17T15:04:10.000,是,0,"2跳关系；路径累计148笔；累计绝对金额21,119,999.15元；最近交易2025-12-17 15:04:10；同社区=是；双向关系0条",,,,,,,
LINK-003,B,A00078,A00061,2,A00078 → A00012 → A00061,148,21119999.15,2025-12-17T15:04:10.000,是,0,"2跳关系；路径累计148笔；累计绝对金额21,119,999.15元；最近交易2025-12-17 15:04:10；同社区=是；双向关系0条",,,,,,,
LINK-004,A,A00078,A00040,2,A00078 → A00012 → A00040,42,12520996.63,2025-12-16T14:24:38.000,是,1,"2跳关系；路径累计42笔；累计绝对金额12,520,996.63元；最近交易2025-12-16 14:24:38；同社区=是；双向关系1条",,,,,,,
LINK-004,B,A00078,A00040,2,A00078 → A00012 → A00040,42,12520996.63,2025-12-16T14:24:38.000,是,1,"2跳关系；路径累计42笔；累计绝对金额12,520,996.63元；最近交易2025-12-16 14:24:38；同社区=是；双向关系1条",,,,,,,
LINK-005,A,A00004,A00072,2,A00004 → A00079 → A00072,34,24690187.2,2025-12-24T16:35:05.000,是,1,"2跳关系；路径累计34笔；累计绝对金额24,690,187.20元；最近交易2025-12-24 16:35:05；同社区=是；双向关系1条",,,,,,,
LINK-005,B,A00004,A00072,2,A00004 → A00079 → A00072,34,24690187.2,2025-12-24T16:35:05.000,是,1,"2跳关系；路径累计34笔；累计绝对金额24,690,187.20元；最近交易2025-12-24 16:35:05；同社区=是；双向关系1条",,,,,,,
